placestate	industry	year	growthdeals
San Jose, CA	Information Technology	2006	15
Eden Prairie, MN	Non-High Technology	1981	1
Charlotte, NC	Non-High Technology	2000	2
Overland Park, KS	Information Technology	2000	4
Beverly, MA	Information Technology	2013	1
San Carlos, CA	Non-High Technology	2020	1
Boulder, CO	Medical/Health/Life Science	2018	3
Menlo Park, CA	Medical/Health/Life Science	2017	4
Colorado Springs, CO	Information Technology	1987	1
Milpitas, CA	Non-High Technology	2007	2
Centennial, CO	Information Technology	1989	1
Germantown, MD	Information Technology	1990	1
Charlottesville, VA	Non-High Technology	2019	2
Norwalk, CT	Information Technology	2008	1
Foster City, CA	Information Technology	2019	2
New York, NY	Information Technology	1989	2
Phoenix, AZ	Information Technology	1982	1
Chesterbrook, PA	Information Technology	2000	3
New York, NY	Non-High Technology	2020	25
Hayward, CA	Information Technology	1997	2
Oakland, CA	Information Technology	1982	1
Framingham, MA	Non-High Technology	1997	2
Irvine, CA	Information Technology	2018	5
Orem, UT	Information Technology	2003	1
Newport Beach, CA	Non-High Technology	2007	1
Pittsburgh, PA	Information Technology	1981	1
Foster City, CA	Information Technology	2007	2
Houston, TX	Non-High Technology	1993	2
Irvine, CA	Information Technology	1984	1
Sacramento, CA	Non-High Technology	2007	1
Santa Clara, CA	Medical/Health/Life Science	2009	2
Boston, MA	Non-High Technology	1990	1
Baltimore, MD	Medical/Health/Life Science	2009	5
Nashville-Davidson, TN	Medical/Health/Life Science	1998	1
Alpharetta, GA	Medical/Health/Life Science	2012	1
Santa Clara, CA	Information Technology	1982	11
Houston, TX	Medical/Health/Life Science	2015	3
Newport Beach, CA	Medical/Health/Life Science	1985	1
Redwood City, CA	Information Technology	1985	1
Louisville, CO	Non-High Technology	2011	1
Marlborough, MA	Information Technology	2001	2
Torrance, CA	Information Technology	2012	2
Greenwood Village, CO	Information Technology	1982	1
Campbell, CA	Information Technology	1998	4
San Mateo, CA	Information Technology	2009	15
Waltham, MA	Information Technology	1999	18
Irvine, CA	Information Technology	2002	2
Nashua, NH	Information Technology	1999	3
King of Prussia, PA	Medical/Health/Life Science	2001	1
Boston, MA	Non-High Technology	1989	2
Goleta, CA	Information Technology	1984	1
San Francisco, CA	Information Technology	1999	135
Cupertino, CA	Information Technology	1983	1
King of Prussia, PA	Non-High Technology	1994	1
The Woodlands, TX	Information Technology	2004	1
Menlo Park, CA	Medical/Health/Life Science	2011	3
Madison, WI	Non-High Technology	1998	1
King of Prussia, PA	Information Technology	1985	1
Walnut Creek, CA	Medical/Health/Life Science	2000	1
Milpitas, CA	Non-High Technology	2014	1
Princeton Junction, NJ	Medical/Health/Life Science	1999	2
Hayward, CA	Medical/Health/Life Science	1983	2
Carlsbad, CA	Medical/Health/Life Science	2017	3
Dallas, TX	Medical/Health/Life Science	2005	1
Milwaukee, WI	Medical/Health/Life Science	2010	1
Newport Beach, CA	Information Technology	2011	1
Durham, NC	Medical/Health/Life Science	2003	4
Burlingame, CA	Medical/Health/Life Science	2002	1
Houston, TX	Information Technology	2014	2
Hayward, CA	Non-High Technology	2000	1
Reston, VA	Information Technology	1982	1
Princeton Junction, NJ	Information Technology	1999	4
Gaithersburg, MD	Information Technology	2019	1
State College, PA	Information Technology	2011	1
Newton, MA	Information Technology	2014	2
Rockville, MD	Medical/Health/Life Science	2013	1
Reston, VA	Information Technology	1994	1
Stamford, CT	Non-High Technology	2018	1
Omaha, NE	Medical/Health/Life Science	2016	1
Durham, NC	Medical/Health/Life Science	2006	1
Johns Creek, GA	Information Technology	1998	1
San Jose, CA	Non-High Technology	2006	4
Portland, OR	Non-High Technology	1993	2
Woburn, MA	Medical/Health/Life Science	1985	1
Champaign, IL	Information Technology	2007	3
Hillsboro, OR	Non-High Technology	2004	1
Chicago, IL	Non-High Technology	2008	6
Houston, TX	Information Technology	2007	3
Austin, TX	Medical/Health/Life Science	1999	2
Tucson, AZ	Medical/Health/Life Science	2002	1
Portland, ME	Medical/Health/Life Science	2018	1
Charlottesville, VA	Medical/Health/Life Science	2005	2
Arlington, VA	Information Technology	2012	3
Denver, CO	Information Technology	2003	3
Cupertino, CA	Medical/Health/Life Science	1989	1
Birmingham, AL	Medical/Health/Life Science	1992	1
Chicago, IL	Non-High Technology	1991	2
Tempe, AZ	Non-High Technology	1999	1
Sunnyvale, CA	Non-High Technology	2007	2
Boulder, CO	Information Technology	2015	10
McNair, VA	Information Technology	2015	2
Redwood City, CA	Medical/Health/Life Science	1986	2
Bloomington, MN	Non-High Technology	1983	1
Pittsburgh, PA	Medical/Health/Life Science	1997	1
Atlanta, GA	Non-High Technology	1989	1
Aliso Viejo, CA	Information Technology	1997	1
Salt Lake City, UT	Medical/Health/Life Science	2018	2
Los Angeles, CA	Information Technology	2012	29
Cleveland, OH	Information Technology	1987	1
Washington, DC	Information Technology	1986	2
King of Prussia, PA	Non-High Technology	2010	1
Memphis, TN	Medical/Health/Life Science	2008	4
Redwood City, CA	Medical/Health/Life Science	1995	1
Denver, CO	Non-High Technology	2020	3
Memphis, TN	Medical/Health/Life Science	2014	5
Seattle, WA	Medical/Health/Life Science	2013	2
Tysons Corner, VA	Information Technology	2004	5
Broomfield, CO	Non-High Technology	2006	1
Fremont, CA	Medical/Health/Life Science	2020	2
Tulsa, OK	Information Technology	2014	2
Madison, WI	Information Technology	2012	3
Houston, TX	Medical/Health/Life Science	1999	1
Irving, TX	Non-High Technology	2009	1
Seattle, WA	Information Technology	2013	18
Centennial, CO	Information Technology	1988	1
Raleigh, NC	Information Technology	2005	2
Washington, DC	Non-High Technology	2015	2
Salt Lake City, UT	Medical/Health/Life Science	2000	1
Berkeley, CA	Medical/Health/Life Science	2020	2
Orlando, FL	Non-High Technology	2007	1
Westborough, MA	Information Technology	1999	2
Wellesley, MA	Information Technology	1999	1
Chicago, IL	Non-High Technology	1995	6
Johns Creek, GA	Medical/Health/Life Science	2011	1
Charlottesville, VA	Information Technology	2019	1
Fremont, CA	Non-High Technology	2006	2
Goleta, CA	Medical/Health/Life Science	1988	1
Tampa, FL	Information Technology	1992	1
Boston, MA	Medical/Health/Life Science	1987	3
Madison, WI	Medical/Health/Life Science	2007	5
Rockville, MD	Information Technology	2013	1
Lowell, MA	Information Technology	1997	1
Milpitas, CA	Medical/Health/Life Science	1998	1
Evanston, IL	Information Technology	1997	2
Tysons Corner, VA	Information Technology	1988	1
Chantilly, VA	Information Technology	2014	1
Framingham, MA	Medical/Health/Life Science	1992	1
Roswell, GA	Non-High Technology	2004	1
Carlsbad, CA	Medical/Health/Life Science	2000	1
Richmond, VA	Non-High Technology	2007	2
Peachtree Corners, GA	Information Technology	1996	1
San Francisco, CA	Non-High Technology	1988	2
West Concord, MA	Information Technology	2014	1
Morrisville, NC	Information Technology	1989	1
Cary, NC	Information Technology	2003	3
Portland, OR	Information Technology	2008	4
Mountain View, CA	Information Technology	2005	14
Chicago, IL	Non-High Technology	2019	3
San Francisco, CA	Non-High Technology	1992	1
Carlsbad, CA	Information Technology	2002	2
San Bruno, CA	Medical/Health/Life Science	2015	1
Rockville, MD	Non-High Technology	1995	1
Indianapolis city, IN	Medical/Health/Life Science	2011	2
Redmond, WA	Information Technology	1983	1
San Diego, CA	Information Technology	2013	7
Plymouth, MN	Medical/Health/Life Science	2000	1
Hayward, CA	Medical/Health/Life Science	1996	2
Dallas, TX	Medical/Health/Life Science	2018	2
Menlo Park, CA	Medical/Health/Life Science	2010	2
Irvine, CA	Medical/Health/Life Science	2018	1
Newark, CA	Medical/Health/Life Science	2004	1
Baltimore, MD	Non-High Technology	2008	2
St. Louis, MO	Non-High Technology	2010	1
Minneapolis, MN	Information Technology	2005	1
New York, NY	Non-High Technology	2011	7
Scottsdale, AZ	Information Technology	2019	1
Watertown Town, MA	Information Technology	1983	1
Foster City, CA	Information Technology	1989	1
Redwood City, CA	Information Technology	2008	12
Boulder, CO	Information Technology	2004	4
Tulsa, OK	Non-High Technology	1986	1
Lowell, MA	Information Technology	2007	4
Newport Beach, CA	Non-High Technology	1998	2
San Ramon, CA	Medical/Health/Life Science	2018	1
Houston, TX	Medical/Health/Life Science	2010	1
Hillsboro, OR	Information Technology	1987	1
Los Angeles, CA	Medical/Health/Life Science	2004	1
Sandy Springs, GA	Information Technology	2003	2
Franklin, TN	Information Technology	1989	1
Boca Raton, FL	Medical/Health/Life Science	1998	2
Champaign, IL	Medical/Health/Life Science	2011	1
Philadelphia, PA	Information Technology	2018	13
Foster City, CA	Medical/Health/Life Science	2006	1
San Diego, CA	Non-High Technology	2014	1
San Bruno, CA	Information Technology	2017	1
Carmel, IN	Non-High Technology	1985	1
Phoenix, AZ	Information Technology	1991	1
St. Louis, MO	Information Technology	1991	1
Omaha, NE	Medical/Health/Life Science	1989	1
Westborough, MA	Information Technology	1985	1
Redwood City, CA	Information Technology	1996	13
Conshohocken, PA	Information Technology	2000	2
Stamford, CT	Information Technology	1996	1
Emeryville, CA	Information Technology	2019	2
Atlanta, GA	Medical/Health/Life Science	2002	1
Roswell, GA	Information Technology	2016	1
Santa Monica, CA	Information Technology	2008	6
Scottsdale, AZ	Medical/Health/Life Science	2013	1
Morrisville, NC	Information Technology	2010	2
Los Gatos, CA	Information Technology	1981	3
Farmers Branch, TX	Medical/Health/Life Science	2010	1
Bellevue, WA	Information Technology	2019	10
Centennial, CO	Non-High Technology	1995	1
Milwaukee, WI	Non-High Technology	1998	1
Washington, DC	Information Technology	1984	1
Cambridge, MA	Non-High Technology	2005	3
Columbus, OH	Non-High Technology	2017	2
Shelton, CT	Information Technology	1995	1
Kirkland, WA	Medical/Health/Life Science	2002	1
Andover, MA	Information Technology	2018	1
Santa Ana, CA	Information Technology	2007	2
Austin, TX	Non-High Technology	1990	1
Bellevue, WA	Non-High Technology	2010	3
Irvine, CA	Medical/Health/Life Science	2015	2
Santa Clara, CA	Information Technology	1992	4
Stamford, CT	Non-High Technology	1989	1
Durham, NC	Information Technology	2003	2
Farmers Branch, TX	Non-High Technology	2010	1
Palo Alto, CA	Information Technology	1984	3
Cambridge, MA	Non-High Technology	2000	1
Plano, TX	Medical/Health/Life Science	2008	1
Marlborough, MA	Information Technology	2000	11
Westborough, MA	Information Technology	1998	5
Santa Clara, CA	Information Technology	1986	12
Lexington, MA	Information Technology	1994	1
Belmont, CA	Information Technology	2005	1
Ann Arbor, MI	Information Technology	2000	6
Pittsburgh, PA	Information Technology	2003	3
Westport, CT	Information Technology	2007	1
Irvine, CA	Non-High Technology	2016	3
Scottsdale, AZ	Medical/Health/Life Science	1985	1
Gaithersburg, MD	Medical/Health/Life Science	2009	1
San Mateo, CA	Information Technology	1988	1
San Diego, CA	Information Technology	1984	7
Morrisville, NC	Information Technology	2004	1
Marlborough, MA	Information Technology	2005	2
Beaverton, OR	Medical/Health/Life Science	1994	1
Woburn, MA	Non-High Technology	1997	1
Sunnyvale, CA	Medical/Health/Life Science	1996	3
Sacramento, CA	Information Technology	2013	1
Berkeley, CA	Information Technology	1995	2
Miami, FL	Non-High Technology	1999	1
Pasadena, CA	Information Technology	2000	4
Dallas, TX	Information Technology	1982	2
Bothell, WA	Medical/Health/Life Science	1995	2
Addison, TX	Non-High Technology	1989	1
Houston, TX	Non-High Technology	2020	5
Seattle, WA	Medical/Health/Life Science	2010	7
Campbell, CA	Medical/Health/Life Science	1998	1
Cupertino, CA	Information Technology	2005	4
Palo Alto, CA	Medical/Health/Life Science	2001	6
Los Angeles, CA	Non-High Technology	2017	4
Pleasanton, CA	Medical/Health/Life Science	2000	1
Minneapolis, MN	Medical/Health/Life Science	2018	1
Seattle, WA	Non-High Technology	2017	4
Santa Monica, CA	Information Technology	2014	12
Provo, UT	Information Technology	2018	4
Los Gatos, CA	Information Technology	1982	1
Atlanta, GA	Information Technology	1998	8
Addison, TX	Information Technology	1998	3
Champaign, IL	Information Technology	2006	2
Durham, NC	Information Technology	1996	1
Los Angeles, CA	Non-High Technology	2001	1
Burlington, MA	Non-High Technology	1991	1
Seattle, WA	Medical/Health/Life Science	2019	6
South San Francisco, CA	Medical/Health/Life Science	2005	3
Minnetonka, MN	Medical/Health/Life Science	1981	1
Carmel, IN	Medical/Health/Life Science	1997	1
Kirkland, WA	Non-High Technology	1999	1
Boston, MA	Information Technology	2003	5
Ann Arbor, MI	Information Technology	1995	3
Atlanta, GA	Non-High Technology	1984	1
Denver, CO	Information Technology	1986	1
Pleasanton, CA	Information Technology	2000	18
Austin, TX	Medical/Health/Life Science	1983	1
Lincoln, NE	Information Technology	2012	1
Irvine, CA	Medical/Health/Life Science	1996	1
Boston, MA	Information Technology	1988	1
Santa Clara, CA	Non-High Technology	2017	1
Conshohocken, PA	Information Technology	2004	1
Alexandria, VA	Information Technology	1996	1
San Ramon, CA	Information Technology	2007	1
Denver, CO	Information Technology	2012	4
Indianapolis city, IN	Non-High Technology	1996	1
Los Angeles, CA	Information Technology	1996	4
Raleigh, NC	Medical/Health/Life Science	2007	1
Denver, CO	Medical/Health/Life Science	1983	1
Lexington, MA	Non-High Technology	2005	1
Salt Lake City, UT	Medical/Health/Life Science	1997	1
Los Angeles, CA	Medical/Health/Life Science	1996	1
Cambridge, MA	Information Technology	2002	3
San Diego, CA	Information Technology	2006	9
Wellesley, MA	Information Technology	2016	1
San Francisco, CA	Medical/Health/Life Science	2012	8
King of Prussia, PA	Information Technology	2007	4
Menlo Park, CA	Non-High Technology	2004	4
Arlington, VA	Information Technology	2000	10
Menlo Park, CA	Non-High Technology	2014	5
Watertown Town, MA	Information Technology	1986	1
Washington, DC	Non-High Technology	2010	2
Sandy Springs, GA	Information Technology	2015	1
Portland, OR	Information Technology	2010	6
San Jose, CA	Information Technology	2000	71
Austin, TX	Medical/Health/Life Science	2020	5
Columbia, MD	Information Technology	2013	2
Carmel, IN	Non-High Technology	1996	1
Champaign, IL	Information Technology	2008	3
Los Gatos, CA	Information Technology	2007	1
Mountain View, CA	Non-High Technology	2007	2
Burlington, MA	Medical/Health/Life Science	2006	1
Plymouth, MN	Medical/Health/Life Science	2007	3
Watertown Town, MA	Information Technology	2001	1
Centennial, CO	Information Technology	1999	3
Palo Alto, CA	Information Technology	2002	9
Salt Lake City, UT	Information Technology	1991	1
Reston, VA	Non-High Technology	1985	1
Irvine, CA	Medical/Health/Life Science	2001	2
Costa Mesa, CA	Non-High Technology	2016	1
St. Louis, MO	Information Technology	2020	2
Alpharetta, GA	Medical/Health/Life Science	2005	1
Burlington, MA	Medical/Health/Life Science	1986	1
Mountain View, CA	Medical/Health/Life Science	1997	2
Durham, NC	Medical/Health/Life Science	1998	2
Bethesda, MD	Information Technology	1989	1
Richmond, VA	Non-High Technology	2011	1
Alameda, CA	Medical/Health/Life Science	2000	1
Providence, RI	Information Technology	2000	2
Minneapolis, MN	Information Technology	2001	2
Somerville, MA	Medical/Health/Life Science	2020	1
Newton, MA	Medical/Health/Life Science	2011	2
Champaign, IL	Information Technology	1983	1
Santa Ana, CA	Medical/Health/Life Science	1986	1
Fort Worth, TX	Information Technology	2001	1
Emeryville, CA	Non-High Technology	2015	2
Sacramento, CA	Medical/Health/Life Science	2001	1
Nashville-Davidson, TN	Information Technology	1988	1
San Rafael, CA	Information Technology	1994	1
Boston, MA	Information Technology	2002	7
Santa Monica, CA	Information Technology	1983	1
Germantown, MD	Non-High Technology	2008	1
Irvine, CA	Information Technology	2020	9
South Plainfield, NJ	Medical/Health/Life Science	1988	1
Needham, MA	Information Technology	2020	2
Watertown Town, MA	Medical/Health/Life Science	1993	1
Santa Clara, CA	Information Technology	1999	47
Jacksonville, FL	Information Technology	2017	2
San Carlos, CA	Medical/Health/Life Science	2004	1
Milwaukee, WI	Non-High Technology	1987	1
Portland, OR	Information Technology	2004	3
Burlington, MA	Medical/Health/Life Science	2019	1
Irvine, CA	Non-High Technology	2010	1
Culver City, CA	Information Technology	1984	1
Omaha, NE	Information Technology	2014	2
Philadelphia, PA	Information Technology	1995	3
Franklin, TN	Information Technology	2012	1
Rockville, MD	Information Technology	2000	7
Roswell, GA	Information Technology	1996	1
San Antonio, TX	Information Technology	2010	2
Seattle, WA	Medical/Health/Life Science	2004	6
Seattle, WA	Information Technology	2004	18
Carlsbad, CA	Medical/Health/Life Science	2006	2
Framingham, MA	Information Technology	1990	1
Dallas, TX	Non-High Technology	1989	2
Santa Barbara, CA	Non-High Technology	2013	1
Hayward, CA	Non-High Technology	1982	2
Burlington, MA	Information Technology	1991	1
Burlington, MA	Medical/Health/Life Science	2005	3
Nashua, NH	Information Technology	2007	1
Roswell, GA	Non-High Technology	1999	1
Westminster, CO	Information Technology	2019	2
Aliso Viejo, CA	Information Technology	2017	1
Richmond, VA	Information Technology	1999	1
South San Francisco, CA	Medical/Health/Life Science	1986	1
Lowell, MA	Non-High Technology	2001	1
Scottsdale, AZ	Information Technology	2009	1
Stamford, CT	Non-High Technology	1994	1
Minneapolis, MN	Non-High Technology	2019	1
Portland, ME	Information Technology	2019	1
Brentwood, TN	Medical/Health/Life Science	1986	2
Alpharetta, GA	Information Technology	1993	2
Salt Lake City, UT	Non-High Technology	2012	1
Campbell, CA	Non-High Technology	1997	1
Newton, MA	Non-High Technology	2014	1
Jacksonville, FL	Information Technology	1999	1
Menlo Park, CA	Non-High Technology	1982	1
Pasadena, CA	Information Technology	2015	1
Irving, TX	Information Technology	2020	1
Culver City, CA	Information Technology	2005	1
San Bruno, CA	Information Technology	2008	2
Tampa, FL	Medical/Health/Life Science	1982	1
Philadelphia, PA	Non-High Technology	2015	1
Menlo Park, CA	Medical/Health/Life Science	2004	5
Reston, VA	Information Technology	2002	3
Nashua, NH	Information Technology	1986	1
San Ramon, CA	Medical/Health/Life Science	2004	1
Addison, TX	Medical/Health/Life Science	2005	1
Foster City, CA	Medical/Health/Life Science	2013	1
Roswell, GA	Medical/Health/Life Science	1999	1
Menlo Park, CA	Information Technology	2009	4
Watertown Town, MA	Medical/Health/Life Science	1986	1
Orem, UT	Information Technology	2014	1
Wellesley, MA	Medical/Health/Life Science	1996	2
Los Angeles, CA	Information Technology	1993	1
Eden Prairie, MN	Information Technology	2012	1
Reston, VA	Information Technology	2018	5
Stamford, CT	Information Technology	2000	6
Phoenix, AZ	Information Technology	1995	3
Cupertino, CA	Information Technology	2019	1
Cincinnati, OH	Information Technology	2012	3
Morrisville, NC	Medical/Health/Life Science	2017	1
Oakland, CA	Medical/Health/Life Science	2018	3
Los Gatos, CA	Information Technology	1997	5
Santa Clara, CA	Medical/Health/Life Science	2005	1
Cincinnati, OH	Non-High Technology	2012	2
Wilmington, DE	Information Technology	2012	1
San Jose, CA	Non-High Technology	1983	4
San Antonio, TX	Medical/Health/Life Science	1993	1
Jacksonville, FL	Medical/Health/Life Science	1996	1
Jacksonville, FL	Information Technology	2019	1
Raleigh, NC	Medical/Health/Life Science	2018	1
Champaign, IL	Non-High Technology	2018	1
San Carlos, CA	Information Technology	1999	4
Carlsbad, CA	Non-High Technology	1995	2
Houston, TX	Information Technology	2002	3
Raleigh, NC	Information Technology	1997	4
Dallas, TX	Medical/Health/Life Science	1987	2
San Francisco, CA	Non-High Technology	1997	3
Brentwood, TN	Information Technology	2012	3
Ann Arbor, MI	Medical/Health/Life Science	2008	1
Woburn, MA	Information Technology	1991	1
San Francisco, CA	Information Technology	2011	193
Cambridge, MA	Non-High Technology	2002	1
Florence-Graham, CA	Information Technology	1998	4
Palo Alto, CA	Information Technology	2005	19
Ann Arbor, MI	Information Technology	1983	4
Raleigh, NC	Information Technology	1996	1
Fort Lauderdale, FL	Information Technology	1989	1
Malvern, PA	Medical/Health/Life Science	2002	1
Cambridge, MA	Medical/Health/Life Science	1990	3
Philadelphia, PA	Information Technology	2017	9
Palo Alto, CA	Medical/Health/Life Science	2007	3
Mountain View, CA	Medical/Health/Life Science	1983	1
Somerville, MA	Non-High Technology	2006	1
Menlo Park, CA	Information Technology	1983	3
Boca Raton, FL	Non-High Technology	1987	1
San Francisco, CA	Medical/Health/Life Science	2014	13
Atlanta, GA	Information Technology	2016	7
Cambridge, MA	Medical/Health/Life Science	2005	8
Cambridge, MA	Medical/Health/Life Science	2003	4
Albuquerque, NM	Medical/Health/Life Science	2008	1
Buffalo, NY	Non-High Technology	2008	1
Colorado Springs, CO	Information Technology	2015	2
Herndon, VA	Information Technology	2011	1
Bellevue, WA	Non-High Technology	1994	1
Philadelphia, PA	Medical/Health/Life Science	2013	1
Los Altos, CA	Information Technology	2010	3
Seattle, WA	Non-High Technology	1994	2
Houston, TX	Non-High Technology	1990	3
El Segundo, CA	Information Technology	2005	1
Palo Alto, CA	Information Technology	1991	2
Portland, ME	Information Technology	2001	1
Oklahoma City, OK	Medical/Health/Life Science	1987	1
Columbus, OH	Information Technology	2019	6
San Carlos, CA	Information Technology	2002	1
Nashville-Davidson, TN	Medical/Health/Life Science	1984	2
Los Angeles, CA	Information Technology	1983	9
Rockville, MD	Medical/Health/Life Science	2007	1
Houston, TX	Medical/Health/Life Science	1988	3
Austin, TX	Medical/Health/Life Science	1995	1
Westport, CT	Non-High Technology	2005	2
Norwalk, CT	Information Technology	2011	2
Sunnyvale, CA	Medical/Health/Life Science	1993	1
Pleasanton, CA	Medical/Health/Life Science	2007	1
Gaithersburg, MD	Information Technology	2018	1
Tampa, FL	Information Technology	2013	1
Farmers Branch, TX	Information Technology	1999	2
Boulder, CO	Information Technology	1996	7
Sandy Springs, GA	Non-High Technology	1983	2
South San Francisco, CA	Information Technology	2002	1
Horsham, PA	Medical/Health/Life Science	1991	1
Orlando, FL	Non-High Technology	1986	1
Tulsa, OK	Non-High Technology	2010	1
Lowell, MA	Non-High Technology	1985	1
Phoenix, AZ	Non-High Technology	1990	1
Addison, TX	Information Technology	2003	1
Shelton, CT	Information Technology	1993	1
Washington, DC	Information Technology	2009	1
Palo Alto, CA	Non-High Technology	1994	1
Stamford, CT	Non-High Technology	1983	1
Albuquerque, NM	Non-High Technology	2007	3
King of Prussia, PA	Medical/Health/Life Science	2011	1
Los Altos, CA	Information Technology	2006	4
Sunnyvale, CA	Information Technology	2012	9
Los Angeles, CA	Non-High Technology	2020	6
Houston, TX	Non-High Technology	2018	5
Sacramento, CA	Information Technology	2016	1
San Francisco, CA	Information Technology	2000	118
Emeryville, CA	Medical/Health/Life Science	2020	1
Florence-Graham, CA	Non-High Technology	2010	1
Berkeley, CA	Information Technology	2003	2
Cambridge, MA	Information Technology	1995	12
Los Altos, CA	Information Technology	2015	3
Los Angeles, CA	Medical/Health/Life Science	1985	1
Seattle, WA	Non-High Technology	2007	5
Albuquerque, NM	Medical/Health/Life Science	2018	1
Pleasanton, CA	Non-High Technology	2005	1
Needham, MA	Information Technology	2007	3
Phoenix, AZ	Non-High Technology	2014	1
Salt Lake City, UT	Information Technology	2008	1
Burlingame, CA	Information Technology	2008	3
Arlington, VA	Information Technology	2017	3
South San Francisco, CA	Medical/Health/Life Science	1991	1
New York, NY	Information Technology	2005	15
Menlo Park, CA	Information Technology	2014	15
Fremont, CA	Information Technology	2020	2
Berkeley, CA	Information Technology	2018	7
Boulder, CO	Information Technology	2001	4
Bothell, WA	Medical/Health/Life Science	2005	2
Palo Alto, CA	Non-High Technology	2015	3
Kirkland, WA	Information Technology	2003	1
Minnetonka, MN	Medical/Health/Life Science	1995	1
Aliso Viejo, CA	Information Technology	2011	1
Columbia, MD	Information Technology	2001	1
Boston, MA	Information Technology	1985	2
Conshohocken, PA	Information Technology	2017	1
Stamford, CT	Information Technology	1982	2
Wilmington, DE	Information Technology	2009	2
Baltimore, MD	Non-High Technology	2013	1
Tysons Corner, VA	Information Technology	2015	3
Plano, TX	Information Technology	2014	2
Columbus, OH	Information Technology	2001	1
Redwood City, CA	Information Technology	1999	35
Boulder, CO	Medical/Health/Life Science	2014	1
King of Prussia, PA	Information Technology	1992	1
Carlsbad, CA	Information Technology	2016	2
Chicago, IL	Non-High Technology	2016	1
Malvern, PA	Information Technology	2009	1
Rochester, NY	Non-High Technology	2004	1
Irvine, CA	Information Technology	2014	5
Austin, TX	Non-High Technology	1994	1
Woburn, MA	Information Technology	2008	3
Stamford, CT	Information Technology	2001	3
Johns Creek, GA	Information Technology	2007	1
Santa Clara, CA	Medical/Health/Life Science	2015	1
Dallas, TX	Medical/Health/Life Science	1992	2
Seattle, WA	Information Technology	1989	1
San Francisco, CA	Non-High Technology	2009	6
Durham, NC	Information Technology	2009	2
Morrisville, NC	Information Technology	2015	1
Needham, MA	Non-High Technology	2011	1
Emeryville, CA	Information Technology	2000	6
Boulder, CO	Non-High Technology	2016	4
Goleta, CA	Information Technology	2008	5
San Jose, CA	Information Technology	2014	13
Kirkland, WA	Non-High Technology	2010	1
Belmont, CA	Information Technology	2009	1
Alpharetta, GA	Medical/Health/Life Science	2009	1
Ann Arbor, MI	Non-High Technology	2016	1
New York, NY	Information Technology	1990	3
Rockville, MD	Medical/Health/Life Science	2005	4
Seattle, WA	Information Technology	2009	17
Birmingham, AL	Medical/Health/Life Science	1995	1
Dallas, TX	Non-High Technology	1993	2
Shelton, CT	Information Technology	1982	1
Los Angeles, CA	Information Technology	1982	5
Morrisville, NC	Information Technology	2000	3
Alameda, CA	Medical/Health/Life Science	1999	1
Berkeley, CA	Information Technology	2014	5
Stamford, CT	Non-High Technology	1996	2
Nashville-Davidson, TN	Information Technology	2020	1
Boston, MA	Information Technology	1987	4
Plymouth, MN	Non-High Technology	1993	1
Morrisville, NC	Information Technology	2016	1
Florence-Graham, CA	Information Technology	1992	3
San Antonio, TX	Medical/Health/Life Science	2010	4
El Segundo, CA	Information Technology	2019	2
Lake Forest, CA	Non-High Technology	2002	1
Carlsbad, CA	Medical/Health/Life Science	1995	2
Burlingame, CA	Non-High Technology	1998	1
San Rafael, CA	Information Technology	2011	1
Broomfield, CO	Information Technology	2000	4
Norwalk, CT	Information Technology	2002	3
Santa Barbara, CA	Information Technology	1987	1
Brisbane, CA	Medical/Health/Life Science	2018	1
Minneapolis, MN	Information Technology	1999	3
Greenwood Village, CO	Information Technology	2020	2
Kirkland, WA	Medical/Health/Life Science	1999	1
Raleigh, NC	Non-High Technology	2008	1
Redmond, WA	Information Technology	1997	3
Cary, NC	Information Technology	2005	1
Cleveland, OH	Information Technology	1994	1
Hayward, CA	Medical/Health/Life Science	2012	1
State College, PA	Medical/Health/Life Science	2012	1
Malvern, PA	Information Technology	2012	1
Columbus, OH	Information Technology	2012	5
Fort Worth, TX	Information Technology	2016	1
Durham, NC	Medical/Health/Life Science	2017	1
San Antonio, TX	Medical/Health/Life Science	2011	1
Champaign, IL	Information Technology	2004	1
Needham, MA	Non-High Technology	1982	1
Houston, TX	Medical/Health/Life Science	1993	2
Richardson, TX	Information Technology	1994	3
Houston, TX	Non-High Technology	2004	4
Los Gatos, CA	Information Technology	1983	2
Lexington, MA	Medical/Health/Life Science	2010	1
Cary, NC	Medical/Health/Life Science	2002	1
Wilmington, DE	Non-High Technology	2005	1
Chesterbrook, PA	Medical/Health/Life Science	2006	1
Westborough, MA	Medical/Health/Life Science	1983	1
Phoenix, AZ	Information Technology	2014	4
San Francisco, CA	Non-High Technology	2014	12
St. Louis, MO	Information Technology	2019	3
Denver, CO	Non-High Technology	1988	2
Belmont, CA	Medical/Health/Life Science	1990	1
Charlotte, NC	Non-High Technology	1987	1
Chicago, IL	Medical/Health/Life Science	2008	1
Waltham, MA	Medical/Health/Life Science	2005	1
South San Francisco, CA	Non-High Technology	1987	1
Dallas, TX	Non-High Technology	1996	2
Woburn, MA	Medical/Health/Life Science	1983	1
Durham, NC	Non-High Technology	2008	2
Herndon, VA	Information Technology	2020	1
Fremont, CA	Information Technology	1994	1
Hillsboro, OR	Information Technology	1996	3
Menlo Park, CA	Non-High Technology	2017	3
Framingham, MA	Non-High Technology	1995	1
Houston, TX	Medical/Health/Life Science	1996	3
